scenario,model,step,protection_share,capability,output_proxy
conditional_support,endogenous,28,0.0075866077776623785,1.0,0.9945255038276388
conditional_support,endogenous,29,0.007577187175336101,1.0,0.9945323017342774
conditional_support,endogenous,30,0.007571245334412679,1.0,0.9945365893666878
conditional_support,endogenous,31,0.0075811252935198544,1.0,0.9945294599881961
conditional_support,endogenous,32,0.007590099560147621,1.0,0.9945229841573975
conditional_support,endogenous,33,0.007582752563566419,1.0,0.9945282857501305
conditional_support,endogenous,34,0.007574813590162936,1.0,0.9945340145133384
conditional_support,endogenous,35,0.007579985793999461,1.0,0.99453028225105
conditional_support,endogenous,36,0.00757313344193844,1.0,0.9945352269082972
conditional_support,endogenous,37,0.007580173318875935,1.0,0.9945301469330992
conditional_support,endogenous,38,0.007575194207275729,1.0,0.9945337398600298
conditional_support,endogenous,39,0.007587024034064581,1.0,0.994525203457019
conditional_support,endogenous,40,0.0075902873362323,1.0,0.9945228486581748
conditional_support,endogenous,41,0.0075839017005269824,1.0,0.9945274565328998
conditional_support,endogenous,42,0.007588418391914081,1.0,0.9945241972883948
conditional_support,endogenous,43,0.007586534077213125,1.0,0.994525557009883
conditional_support,endogenous,44,0.007578084712714678,1.0,0.9945316540713051
conditional_support,endogenous,45,0.007576354960305367,1.0,0.9945329022606436
conditional_support,endogenous,46,0.007572777927575778,1.0,0.9945354834474613
conditional_support,endogenous,47,0.0075739410898902765,1.0,0.9945346441095352
conditional_support,endogenous,48,0.007577704785027517,1.0,0.9945319282271241
conditional_support,endogenous,49,0.007575615582945265,1.0,0.9945334357953467
conditional_support,endogenous,50,0.007578706138581098,1.0,0.9945312056503999
conditional_support,endogenous,51,0.007587360568973385,1.0,0.9945249606134288
conditional_support,endogenous,52,0.007577481373985871,1.0,0.9945320894405318
conditional_support,endogenous,53,0.007571599932039563,1.0,0.9945363334890402
conditional_support,endogenous,54,0.007579835966052928,1.0,0.9945303903668962
conditional_support,endogenous,55,0.007581216412528847,1.0,0.9945293942367192
conditional_support,endogenous,56,0.00757599030643672,1.0,0.9945331653948752
conditional_support,endogenous,57,0.0075856369928363945,1.0,0.9945262043459693
conditional_support,endogenous,58,0.007587382908765565,1.0,0.9945249444930347
conditional_support,endogenous,59,0.00757894267912688,1.0,0.9945310349627421
conditional_support,endogenous,60,0.007572383692179569,1.0,0.9945357679277232
conditional_support,endogenous,61,0.007586505072957445,1.0,0.9945255779393539
conditional_support,endogenous,62,0.007576602342316229,1.0,0.9945327237497846
conditional_support,endogenous,63,0.007581711463261155,1.0,0.9945290370081108
conditional_support,endogenous,64,0.007583118845940685,1.0,0.9945280214407692
conditional_support,endogenous,65,0.007586189646801883,1.0,0.9945258055508678
conditional_support,endogenous,66,0.00758282537312605,1.0,0.9945282332107522
conditional_support,endogenous,67,0.007571893815640864,1.0,0.9945361214226336
conditional_support,endogenous,68,0.007575626036732477,1.0,0.9945334282518938
conditional_support,endogenous,69,0.007575588186563013,1.0,0.9945334555645762
conditional_support,endogenous,70,0.007587938824006011,1.0,0.9945245433445973
conditional_support,endogenous,71,0.007583830232138468,1.0,0.9945275081044889
conditional_support,endogenous,72,0.007584400028043384,1.0,0.9945270969397639
conditional_support,endogenous,73,0.007587531866417404,1.0,0.9945248370051932
conditional_support,endogenous,74,0.0075764738140798316,1.0,0.99453281649576
conditional_support,endogenous,75,0.007573854592392318,1.0,0.9945347065261297
conditional_support,endogenous,76,0.007573908747622603,1.0,0.9945346674477156
conditional_support,endogenous,77,0.007577443814745032,1.0,0.99453211654328
conditional_support,endogenous,78,0.00756900171655505,1.0,0.9945382083613339
conditional_support,endogenous,79,0.007573778486798362,1.0,0.9945347614439263
conditional_support,endogenous,80,0.007586041238510998,1.0,0.9945259126422905
conditional_support,endogenous,81,0.0075802963963069354,1.0,0.9945300581204249
conditional_support,endogenous,82,0.007584615316997326,1.0,0.9945269415872547
conditional_support,endogenous,83,0.007582937188108743,1.0,0.9945281525250608
conditional_support,endogenous,84,0.007584135063703173,1.0,0.9945272881380318
conditional_support,endogenous,85,0.007574734020191869,1.0,0.9945340719310295
conditional_support,endogenous,86,0.007572705371723087,1.0,0.9945355358037646
conditional_support,endogenous,87,0.007584386053804707,1.0,0.9945271070235745
